"name","L1-dcache-load-misses","L1-dcache-loads","LLC-loads","branch-misses","branches","context-switches","cpu-migrations","cycles","instructions","page-faults","task-clock","opt"
"483.xalancbmk/AttributeListImpl.ii",10158887,258112459,3445452,6320390,220212228,0,0,773854180,977155955,8467,230.719338,"O0"
"483.xalancbmk/AttributesImpl.ii",9950158,251751112,3480739,6251106,221458298,0,0,773860680,966223173,8609,231.082654,"O0"
"483.xalancbmk/BMPattern.ii",1894312,46861609,415965,884478,42647650,0,0,108627566,172297957,2553,38.277297,"O0"
"483.xalancbmk/Base64.ii",2595708,67348610,765277,1216187,56202495,0,0,180984724,260425207,3284,53.325875,"O0"
"483.xalancbmk/Base64BinaryDatatypeValidator.ii",3336723,81294238,1174711,1691092,71363766,0,0,247357549,313928632,4263,72.880518,"O0"
"483.xalancbmk/BinFileInputStream.ii",1212705,35826552,315608,696331,34280525,0,0,106636512,150138511,2329,31.420067,"O0"
"483.xalancbmk/BinFileOutputStream.ii",1212311,35556382,325618,671919,33739532,0,0,104636258,148760663,2308,30.832303,"O0"
"483.xalancbmk/BinHTTPURLInputStream.ii",,3487061,,53832,3108640,0,0,11865353,14840776,855,3.493682,"O0"
"483.xalancbmk/BinInputStream.ii",323599,14410033,,247093,12786461,0,0,13598025,40791586,1361,11.516836,"O0"
"483.xalancbmk/BinMemInputStream.ii",1064882,25176082,266555,331379,23046389,0,0,75919698,108406790,1971,22.363932,"O0"
"483.xalancbmk/BinMemOutputStream.ii",1226677,34690301,311682,589884,31981057,0,0,98823102,142243529,2245,29.123824,"O0"
"483.xalancbmk/BinOutputStream.ii",332290,14406418,,248420,12790050,0,0,13597130,38820226,1362,11.71807,"O0"
"483.xalancbmk/BitSet.ii",1242010,36828305,306591,660019,29369412,0,0,100436705,137398991,2014,29.599119,"O0"
"483.xalancbmk/BlockRangeFactory.ii",1935284,58442082,626439,824337,50249666,0,0,150062857,230480034,3019,44.223566,"O0"
"483.xalancbmk/BooleanDatatypeValidator.ii",4510430,115537878,1642169,2515264,95545968,0,0,325855644,400020213,4778,99.668209,"O0"
"483.xalancbmk/CDATASectionImpl.ii",1855096,49102303,581293,856038,40972112,0,0,135796104,167436186,3017,40.903971,"O0"
"483.xalancbmk/CMAny.ii",3526595,87326392,1255878,1665854,76653293,0,0,270945300,339811955,4856,79.826722,"O0"
"483.xalancbmk/CMBinaryOp.ii",3472162,93346811,1264660,1784222,80927763,0,0,282510648,362027682,4909,83.239549,"O0"
"483.xalancbmk/CMUnaryOp.ii",3514907,87894582,1242435,1685017,77021836,0,0,268449735,340608117,4809,79.086577,"O0"
"483.xalancbmk/CSetDefs.ii",,3486499,,54028,3108210,0,0,12192309,14840501,856,3.589796,"O0"
"483.xalancbmk/CharToken.ii",1306008,37692284,335819,666541,29548260,0,0,103325854,139886231,2065,30.440927,"O0"
"483.xalancbmk/CharacterDataImpl.ii",2619494,72727834,750179,1241112,61263257,0,0,197615904,258533311,3634,58.219772,"O0"
"483.xalancbmk/ChildNode.ii",576882,19734599,285344,381460,17376636,0,0,57479844,72498205,1558,16.942034,"O0"
"483.xalancbmk/ClosureToken.ii",1328677,37948371,340889,674689,29824273,0,0,104160254,142118283,2118,30.692648,"O0"
"483.xalancbmk/CommentImpl.ii",1860352,48666343,556209,838996,41588083,0,0,135776799,167532722,2986,40.228394,"O0"
"483.xalancbmk/ComplexTypeInfo.ii",11176356,276692586,3711271,5928122,228067842,0,0,801003863,968852362,9497,238.715579,"O0"
