"name","L1-dcache-load-misses","L1-dcache-loads","LLC-loads","branch-misses","branches","context-switches","cpu-migrations","cycles","instructions","page-faults","task-clock","opt"
"483.xalancbmk/XSDElementNSImpl.ii",2202964,54941230,735185,1024692,46940850,0,0,159175347,202133215,3237,46.890394,"O2"
"483.xalancbmk/XSDErrorReporter.ii",4359917,83706205,1054291,2413634,67169889,0,0,248752195,307014908,2792,73.290963,"O2"
"483.xalancbmk/XSDLocator.ii",607535,18233724,304220,433383,17051458,0,0,55127776,64364572,1495,16.259289,"O2"
"483.xalancbmk/XSElementDeclaration.ii",5052260,111067884,1693545,2652923,98324541,0,0,362658040,424895804,5657,106.85584,"O2"
"483.xalancbmk/XSFacet.ii",1084068,24453274,303790,364020,22357206,0,0,77575665,109512345,1978,22.849839,"O2"
"483.xalancbmk/XSIDCDefinition.ii",6906777,159515305,2222892,4474520,129059126,0,0,488748802,573502326,6102,147.334798,"O2"
"483.xalancbmk/XSLException.ii",4108061,105174894,1378050,2347483,85634199,0,0,298689801,377775939,5345,92.34678,"O2"
"483.xalancbmk/XSLTEngineImpl.ii",79629456,1341022088,23832260,37624333,1082984046,0,0,3958371067,4849462737,27600,1166.286319,"O2"
"483.xalancbmk/XSLTInit.ii",13121819,284349335,4518247,4827256,232122908,0,0,842919493,1039060741,16205,248.354177,"O2"
"483.xalancbmk/XSLTInputSource.ii",8493801,192547502,2790777,3915453,155614792,0,0,565664868,695192532,9250,166.66886,"O2"
"483.xalancbmk/XSLTProcessor.ii",335054,12370685,,237244,11261617,0,0,13597813,42951269,1317,10.400961,"O2"
"483.xalancbmk/XSLTProcessorEnvSupport.ii",4102823,105657887,1458535,1707764,90973144,0,0,298695105,395816242,6931,90.303192,"O2"
"483.xalancbmk/XSLTProcessorEnvSupportDefault.ii",13025213,280989788,4491288,5258956,233774249,0,0,821391165,1040619239,13894,242.004114,"O2"
"483.xalancbmk/XSLTProcessorException.ii",2827732,79910997,1164116,1448351,65745590,0,0,230808241,281741090,5002,68.391922,"O2"
"483.xalancbmk/XSLTResultTarget.ii",5719728,135314031,1914402,2719668,109123120,0,0,393718091,471284623,7219,117.551037,"O2"
"483.xalancbmk/XSModel.ii",44136082,828944237,13558880,29311833,677868638,0,0,2606564963,3001143317,12278,768.534262,"O2"
"483.xalancbmk/XSModelGroup.ii",1287075,32439416,368479,704305,31003672,0,0,100942791,135384709,2100,29.750338,"O2"
"483.xalancbmk/XSModelGroupDefinition.ii",3663646,91208175,1323427,1694143,74338773,0,0,277623086,313764234,5231,81.797389,"O2"
"483.xalancbmk/XSMultiValueFacet.ii",3860984,87181624,1214924,2749449,75589203,0,0,277563176,315714523,3300,81.779714,"O2"
"483.xalancbmk/XSNamespaceItem.ii",11738628,244502852,3704482,8388187,204702251,0,0,800997819,894647458,7121,237.080629,"O2"
"483.xalancbmk/XSNotationDeclaration.ii",3640315,86057496,1301093,1581721,72787782,0,0,271079693,307137655,5172,79.866858,"O2"
"483.xalancbmk/XSObject.ii",1084578,24456355,306064,364381,21856154,0,0,76421245,101502184,1942,22.524125,"O2"
"483.xalancbmk/XSObjectFactory.ii",49959500,910221045,15246185,29896371,738811287,0,0,2758134281,3302078687,13679,812.662367,"O2"
"483.xalancbmk/XSParticle.ii",1968036,47505314,691333,1064651,39267887,0,0,135772621,160631391,2896,41.056664,"O2"
"483.xalancbmk/XSSimpleTypeDefinition.ii",8271262,185375587,2658728,5443439,145611370,0,0,575619838,657390061,6450,169.607804,"O2"
"483.xalancbmk/XSTypeDefinition.ii",3561179,85951326,1293316,1616741,73526046,0,0,262740776,298908354,5105,77.413838,"O2"
"483.xalancbmk/XSWildcard.ii",16611757,297480758,4888920,6702156,237114487,0,0,801015365,1030151054,7719,238.879065,"O2"
"483.xalancbmk/XSerializeEngine.ii",16562764,317968749,4383422,11677082,265185296,0,0,991047455,1131408189,5047,292.161533,"O2"
"483.xalancbmk/XSpan.ii",3968908,103910859,1386300,2044795,88691050,0,0,298692420,398142817,6210,92.173433,"O2"
"483.xalancbmk/XString.ii",4144023,106238399,1401216,2308996,90140201,0,0,325844463,385722845,6055,96.557956,"O2"
"483.xalancbmk/XStringAdapter.ii",3746292,103217934,1262815,1927598,81325776,0,0,298695076,380586858,5921,88.687126,"O2"
"483.xalancbmk/XStringAdapterAllocator.ii",18422522,360264648,5011888,11541391,285088063,0,0,1100407834,1257117659,9564,324.231807,"O2"
"483.xalancbmk/XStringAllocator.ii",21104539,410263133,5819995,13151833,322398211,0,0,1238397724,1465120023,9830,364.87913,"O2"
"483.xalancbmk/XStringBase.ii",4405108,108686217,1575195,2310331,91171134,0,0,325842991,396047241,6303,98.352271,"O2"
"483.xalancbmk/XStringCached.ii",5225457,129645609,1842951,3005811,108679367,0,0,393723939,468883593,6665,117.347697,"O2"
"483.xalancbmk/XStringCachedAllocator.ii",18834441,366648143,5218085,11933579,293850324,0,0,1133749878,1336185019,9932,334.041519,"O2"
"483.xalancbmk/XStringReference.ii",3757670,102178978,1242291,2013506,84120570,0,0,298692265,381807421,5972,90.192747,"O2"
"483.xalancbmk/XStringReferenceAllocator.ii",18450413,360781426,5033911,11555406,283982586,0,0,1101792631,1259440634,9562,324.640675,"O2"
"483.xalancbmk/XTemplateComparator.ii",48918257,862973457,14657450,30626293,702587707,0,0,2730873635,3165941521,13803,804.633606,"O2"
"483.xalancbmk/XTemplateSerializer.ii",108698482,1934990917,29344526,68776654,1558815024,0,0,5905499775,6988640420,20333,1746.93844,"O2"
"483.xalancbmk/XToken.ii",4757442,116601440,1632465,2822983,102284590,0,0,378663242,453441929,6190,111.567855,"O2"
"483.xalancbmk/XTokenNumberAdapter.ii",3493537,101674380,1143074,1899142,79824874,0,0,297348851,374488288,5862,87.608786,"O2"
"483.xalancbmk/XTokenNumberAdapterAllocator.ii",18330241,358552900,5068959,11488289,281115832,0,0,1086077356,1221128115,9485,323.787874,"O2"
"483.xalancbmk/XTokenStringAdapter.ii",3774206,103580032,1265251,1923393,81235670,0,0,298701257,379521249,5960,89.23367,"O2"
"483.xalancbmk/XTokenStringAdapterAllocator.ii",18409450,360556283,5039564,11576766,284376567,0,0,1102375183,1258743243,9556,324.801054,"O2"
"483.xalancbmk/XUnknown.ii",5183286,132188990,1823554,3134971,109448301,0,0,393717294,483803723,6360,120.570348,"O2"
"483.xalancbmk/XUtil.ii",2943502,55990366,697777,1504276,51642639,0,0,172972316,226186092,2601,50.957586,"O2"
"483.xalancbmk/XalanAVTAllocator.ii",7709502,172309024,2456471,5222575,142418688,0,0,545237255,624948338,6470,160.649638,"O2"
"483.xalancbmk/XalanAVTPartSimpleAllocator.ii",7700927,173209720,2473889,5205213,141900426,0,0,546854039,626024661,6424,161.126681,"O2"
"483.xalancbmk/XalanAVTPartXPathAllocator.ii",8728988,192390258,2797473,5519938,162191224,0,0,610945572,696383387,8110,180.083846,"O2"
"483.xalancbmk/XalanAttr.ii",528740,15749688,310130,391041,12305177,0,0,40738887,39057358,1384,14.231823,"O2"
