"name","L1-dcache-load-misses","L1-dcache-loads","LLC-loads","branch-misses","branches","context-switches","cpu-migrations","cycles","instructions","page-faults","task-clock","opt"
"444.namd/spec_namd.ii",2333768,65468672,644272,809651,51674432,0,0,154645581,224589715,3374,45.578093,"O0"
"445.gobmk/engine_aftermath.i",2824314,64921531,707130,917727,55023637,0,0,151616432,258777685,3102,44.672205,"O0"
"445.gobmk/engine_board.i",9969273,256573946,2093140,4263862,218482599,0,0,582565944,965372146,5204,171.643588,"O0"
"445.gobmk/engine_cache.i",1843488,51127142,343491,937980,40815137,0,0,108624490,177628531,2270,37.506642,"O0"
"445.gobmk/engine_combination.i",2789927,67796630,630441,1264377,58348131,0,0,175577834,268510835,2557,51.72471,"O0"
"445.gobmk/engine_dragon.i",6750700,166103650,1645295,2509323,142910914,0,0,374547839,628838709,4535,110.350192,"O0"
"445.gobmk/engine_filllib.i",1361945,33568223,365195,599334,32093284,0,0,94885313,150537883,2203,27.95485,"O0"
"445.gobmk/engine_fuseki.i",1162274,27186477,305315,438144,27748698,0,0,80663898,119452746,1987,23.765105,"O0"
"445.gobmk/engine_genmove.i",2065202,51749042,428948,884731,43173944,0,0,108626532,188696124,2505,37.737478,"O0"
"445.gobmk/engine_globals.i",482742,9952027,,119023,8248199,0,0,13597866,38389795,1248,7.772491,"O0"
"445.gobmk/engine_handicap.i",941356,27314666,302635,363744,19083307,0,0,67270631,95363442,1817,19.821384,"O0"
"445.gobmk/engine_hash.i",722204,22497931,277165,384977,19078457,0,0,57759646,84083776,1738,17.026208,"O0"
"445.gobmk/engine_influence.i",4390504,111589594,1116389,2063166,99288813,0,0,278016574,438336937,3332,81.913192,"O0"
"445.gobmk/engine_interface.i",1725438,47748951,349328,866289,36903372,0,0,108625561,164307141,2276,35.641774,"O0"
"445.gobmk/engine_matchpat.i",1931279,51081142,405707,947103,42259381,0,0,108624423,183964501,2383,37.526316,"O0"
"445.gobmk/engine_move_reasons.i",5223380,135124969,1364204,2920681,114183198,0,0,347408150,500575190,3654,102.367868,"O0"
"445.gobmk/engine_movelist.i",704110,22398059,254211,344202,18857025,0,0,55552363,80445477,1751,16.38236,"O0"
"445.gobmk/engine_optics.i",5288898,133878391,1076471,2250362,114281892,0,0,298691963,519545554,3542,90.891929,"O0"
"445.gobmk/engine_owl.i",11934177,268743792,2703727,5046110,231823661,0,0,633857982,1034754362,5806,186.766454,"O0"
"445.gobmk/engine_persistent.i",2589852,67175483,620257,1204887,54271232,0,0,163064297,245196439,2522,48.047133,"O0"
"445.gobmk/engine_printutils.i",1414730,41317081,343076,642570,30433237,0,0,98265256,143515927,2228,28.944855,"O0"
"445.gobmk/engine_readconnect.i",8566317,199952646,1942189,1937172,161901706,0,0,393752071,731311430,6855,118.086219,"O0"
"445.gobmk/engine_reading.i",11505148,268095789,2309101,4458019,222149099,0,0,583774636,968928464,5423,176.959813,"O0"
"445.gobmk/engine_score.i",1878633,48003037,373662,659265,39030301,0,0,108622288,179514844,2247,32.109429,"O0"
"445.gobmk/engine_semeai.i",2388434,63446560,397625,736680,51146947,0,0,108622166,215208212,2708,39.736952,"O0"
"445.gobmk/engine_sgfdecide.i",1494249,42290285,306758,675915,35061807,0,0,101371207,155223090,2050,29.862616,"O0"
"445.gobmk/engine_sgffile.i",954476,26735882,290450,441212,23315495,0,0,69285813,99640191,1880,20.418446,"O0"
"445.gobmk/engine_shapes.i",1877420,41367875,408691,533775,33883487,0,0,95833436,161390068,2515,28.238825,"O0"
"445.gobmk/engine_showbord.i",1227916,32786419,326892,514734,28274346,0,0,83882363,126017156,2062,24.719497,"O0"
"445.gobmk/engine_surround.i",1735068,44173692,425591,601492,37349166,0,0,103571863,174074209,2566,30.519636,"O0"
"445.gobmk/engine_utils.i",3972956,98279273,966927,1916146,81681833,0,0,230805584,345253505,3185,71.076063,"O0"
"445.gobmk/engine_value_moves.i",8362085,191160774,1861900,2762117,154579910,0,0,393713413,696538566,4598,121.340116,"O0"
"445.gobmk/engine_worm.i",4269004,106759247,1033554,1806737,85152498,0,0,256598670,402568603,3318,75.60383,"O0"
"445.gobmk/interface_gtp.i",1120815,30611726,334873,609047,28834075,0,0,85283993,112718726,1729,25.133218,"O0"
"445.gobmk/interface_main.i",2410427,54367659,541637,603065,46801644,0,0,108626468,212323423,2929,36.184381,"O0"
"445.gobmk/interface_play_ascii.i",3176824,78890698,735943,1081337,65166292,0,0,182708754,298623474,2917,53.828948,"O0"
"445.gobmk/interface_play_gtp.i",7141259,177027133,1793559,4085991,146274581,0,0,452759946,660458553,3910,133.414226,"O0"
"445.gobmk/interface_play_solo.i",1237266,34499978,301790,429581,27529982,0,0,83941700,130433842,2161,24.734721,"O0"
"445.gobmk/interface_play_test.i",1005477,28544468,297014,309241,18914035,0,0,66271025,102349593,1953,19.522341,"O0"
"445.gobmk/patterns_aa_attackpat.i",833508,27090643,251646,346364,24132586,0,0,73001388,102515005,1886,21.521962,"O0"
"445.gobmk/patterns_apatterns.i",528349,18937887,345795,259373,14412240,0,0,40742021,39513611,1604,13.520295,"O0"
"445.gobmk/patterns_barriers.i",6511637,205693642,1664882,4228983,169823252,0,0,488754926,746614838,4417,149.096103,"O0"
"445.gobmk/patterns_conn.i",4579890,132155109,1145442,2768489,111002303,0,0,325830712,469923162,3340,98.009724,"O0"
