L1-dcache-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,instructions,name,page-faults,stalled-cycles-frontend,task-clock,opt
21324184.0,5549396.0,18539199,395820107,0,0,1579968824.0,1761512950,403.gcc/gcse.i,7177,743180503,410.862761,Og
2788601.0,924948.0,2348104,63497061,0,0,251442684.0,286569880,403.gcc/genrtl.i,2831,119046694,68.269397,Og
674559.0,225555.0,415693,16385930,0,0,65601188.0,55491743,403.gcc/getpwd.i,1787,30455723,17.788962,Og
6410338.0,1697108.0,3551963,124304079,0,0,428352953.0,561891942,403.gcc/ggc-common.i,4384,194077144,114.313035,Og
3754753.0,1201754.0,3074011,73231976,0,0,304638158.0,340846753,403.gcc/ggc-page.i,3529,146380348,81.520531,Og
11181849.0,2994382.0,7980115,203374437,0,0,749177619.0,912341201,403.gcc/global.i,4989,335482072,197.553196,Og
2609885.0,793473.0,1663488,54975610,0,0,206950468.0,245531267,403.gcc/graph.i,2967,99194513,55.719329,Og
13507114.0,3440607.0,8483201,217647296,0,0,824872230.0,975992677,403.gcc/haifa-sched.i,5088,381499583,216.622402,Og
1393367.0,456367.0,1162336,31801611,0,0,133020153.0,147983041,403.gcc/hash.i,2214,68246695,37.343779,Og
1955184.0,629592.0,1899633,40074080,0,0,185684686.0,195185834,403.gcc/hashtab.i,2187,95339461,50.332443,Og
1949666.0,585771.0,1526681,39861657,0,0,167690458.0,168188650,403.gcc/hashtable.i,2409,80110410,45.458875,Og
