"name","L1-dcache-load-misses","L1-dcache-loads","LLC-loads","branch-misses","branches","context-switches","cpu-migrations","cycles","instructions","page-faults","task-clock","opt"
"403.gcc/expr.i",10938568,4475827,6301645,261962154,1,0,1101526804,1267065787,7372,571012423,291.21506,"O0"
"403.gcc/fibheap.i",660614,265228,543258,25410405,1,0,106080536,122369328,1704,59263679,30.773403,"O0"
"403.gcc/final.i",3050129,1204680,2249563,79566462,1,0,374518935,364219242,3240,202634699,103.501775,"O0"
"403.gcc/flow.i",3768965,1522512,2730602,103680004,1,0,447600583,507666285,3668,237400831,121.429716,"O0"
"403.gcc/fold-const.i",8175315,2904515,4786388,212917244,1,0,848102860,1000581575,6928,442392962,227.121944,"O0"
"403.gcc/function.i",7759778,3083943,5144053,189593465,1,0,834421096,930880232,5797,447736240,222.6319,"O0"
"403.gcc/gcse.i",5478722,2269398,3986987,133195949,1,0,613142438,649631852,4512,335500290,164.824035,"O0"
"403.gcc/genrtl.i",1578688,664700,1046659,43438474,1,0,199296666,214001455,2963,112657345,55.921006,"O0"
"403.gcc/getpwd.i",532433,180500,328018,16561556,1,0,74139124,92252657,1535,39920043,22.011379,"O0"
"403.gcc/ggc-common.i",1948781,747190,1359008,57113815,1,0,251194228,279578383,2821,129343397,69.373235,"O0"
"403.gcc/ggc-page.i",1368113,543780,1017181,40403599,1,0,195709407,196488659,2331,116299379,54.255357,"O0"
"403.gcc/global.i",2577812,928098,1777072,72012169,1,0,303509711,359463637,2908,156683053,83.831763,"O0"
"403.gcc/graph.i",1194723,400843,983619,34670886,1,0,161165002,149078818,2118,94649292,44.93341,"O0"
"403.gcc/haifa-sched.i",2106714,803404,1714410,57177165,1,0,265682954,259604380,2750,145263977,74.046161,"O0"
"403.gcc/hash.i",709916,244264,578296,26277528,1,0,112370196,125007189,1754,65318518,32.524387,"O0"
"403.gcc/hashtab.i",777380,286693,611249,27489253,1,0,112549616,130564796,1795,64552779,33.028218,"O0"
"403.gcc/hashtable.i",801307,253995,694571,28837252,1,0,114511270,135647395,1904,69714885,34.556282,"O0"
"403.gcc/hex.i",420188,175815,247812,11212882,1,0,38466100,52792650,1317,14352258,12.354474,"O0"
"403.gcc/hooks.i",571761,215014,321071,16554791,1,0,90084331,96634032,1555,47031694,24.316384,"O0"
"403.gcc/i386.i",13183347,5167188,8594593,316168270,1,0,1398948961,1532413562,8726,760832324,367.321628,"O0"
"403.gcc/ifcvt.i",2871969,1034221,1941756,77972947,1,0,335339974,391310430,3198,179364459,92.178189,"O0"
"403.gcc/insn-attrtab.i",25440551,9396581,11118918,612607807,1,0,2469207365,2960755556,11509,1291699995,641.550445,"O0"
"403.gcc/insn-emit.i",17818410,7726347,10156908,396274990,1,0,1818225066,1889365638,16163,1010707534,476.714529,"O0"
"403.gcc/insn-extract.i",2526841,664869,1162535,70581791,1,0,264531794,312760702,3392,133811159,73.884621,"O0"
"403.gcc/insn-opinit.i",1671089,562196,848695,41579758,1,0,190255169,213769121,2719,109012694,53.004961,"O0"
"403.gcc/insn-output.i",6062462,2332997,4144173,192116210,1,0,775610892,942803278,4922,386292190,205.909609,"O0"
"403.gcc/insn-peep.i",571589,162669,501937,23123054,1,0,108508069,114699906,1693,65716526,31.427283,"O0"
"403.gcc/insn-recog.i",56957732,24459470,21386146,1170774869,1,0,5099734879,5578220434,55986,2851691706,1323.115427,"O0"
"403.gcc/integrate.i",3889845,1519006,2431666,100857038,1,0,436028488,502128338,3786,233658151,117.607397,"O0"
"403.gcc/intl.i",530792,174701,302325,16520057,1,0,80271300,95077860,1469,45485775,23.591919,"O0"
"403.gcc/jump.i",2763370,973937,1996787,72864895,1,0,320376526,350652166,2965,176053759,85.911105,"O0"
"403.gcc/langhooks.i",1088541,428964,811290,33961857,1,0,157243900,145409669,2152,93740411,44.599893,"O0"
"403.gcc/lbasename.i",403516,197828,241073,10131877,1,0,23434265,47150855,1288,14470220,10.955201,"O0"
"403.gcc/lcm.i",1668636,607267,1120813,49484712,1,0,217827135,236568943,2554,120477904,60.637483,"O0"
"403.gcc/line-map.i",590419,221635,464766,23935903,1,0,102484074,114282330,1699,59498040,29.789353,"O0"
"403.gcc/lists.i",692526,202867,600294,25609453,1,0,112380678,124025835,1766,66910240,32.71347,"O0"
"403.gcc/local-alloc.i",2954374,1047471,1968893,78870698,1,0,329601587,389758258,3223,176528560,90.790286,"O0"
"403.gcc/loop.i",9566822,3842699,6232578,245693062,1,0,1008366798,1128042189,6335,534840113,268.791838,"O0"
"403.gcc/main.i",534542,197870,382791,20069498,1,0,84376091,96864115,1574,49418633,24.95132,"O0"
"403.gcc/mbchar.i",374995,107546,254081,12818893,1,0,37781900,52180651,1272,14570679,15.354627,"O0"
"403.gcc/md5.i",851556,240084,649890,33158394,1,0,113974883,160412632,1966,63328083,35.221611,"O0"
"403.gcc/mkdeps.i",590063,219695,549686,25381558,1,0,108749816,120142085,1709,63034223,31.436171,"O0"
"403.gcc/obstack.i",442374,131633,280057,13230596,1,0,59708947,52810290,1348,28262763,18.086455,"O0"
"403.gcc/optabs.i",5243922,2042376,3366507,144052245,1,0,592278518,652921661,4926,311173510,157.787588,"O0"
"403.gcc/params.i",543446,215174,373565,20808982,1,0,89036960,99626095,1630,51956606,25.724748,"O0"
