L1-dcache-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,instructions,name,page-faults,stalled-cycles-frontend,task-clock,opt
1512682,504662,1397970,40215907,1,0,141632014.0,179820613,471.omnetpp/libs_spec_spec_qsort.ii,1864,61558601,44.3573,Ofast
4750487,2008981,3068143,105305539,1,0,645827411.0,516626185,471.omnetpp/utils.ii,4424,427060592,171.43898,Ofast
2526876,909351,2558403,73818834,1,0,317370002.0,341016340,473.astar/CreateWay_.ii,2020,168731788,86.021672,Ofast
2798807,973158,2290095,85547148,1,0,335434632.0,379086473,473.astar/Library.ii,2363,181051147,94.184953,Ofast
1340827,591817,1302053,43593910,1,0,198159177.0,197020196,473.astar/Places_.ii,1992,117581384,55.699766,Ofast
651692,270505,473336,19872454,1,0,86174929.0,103336901,473.astar/Random.ii,1672,45553736,25.320514,Ofast
3495981,1284116,3568934,88048092,1,0,391508148.0,417374823,473.astar/RegBounds_.ii,2191,209551191,105.402751,Ofast
6077526,2253192,6605177,167206260,1,0,752963488.0,771452862,473.astar/RegMng_.ii,2401,419740590,203.231659,Ofast
1670465,606120,1592261,40811396,1,0,218664773.0,182131914,473.astar/RegWay_.ii,1957,153304501,62.738548,Ofast
1464046,549943,1407396,39940199,1,0,215610264.0,180066760,473.astar/Region_.ii,1939,149492947,60.42195,Ofast
3177852,1174610,3403074,89770363,1,0,426953290.0,415855619,473.astar/Way2_.ii,2135,247988294,113.555996,Ofast
2081202,779615,2195667,57753255,1,0,248981447.0,254868828,473.astar/WayInit_.ii,2050,134998011,72.019711,Ofast
2101131,715756,1969614,59764016,1,0,265184216.0,268092203,473.astar/Way_.ii,1902,140973259,72.854197,Ofast
716900,220227,565397,24774199,1,0,106535904.0,121435191,482.sphinx3/agc.i,1851,58944907,30.270496,Ofast
1382823,501941,1414066,36514123,1,0,173509968.0,155217126,482.sphinx3/approx_cont_mgau.i,2033,88733312,47.487023,Ofast
639926,226347,364490,16609843,1,0,80097695.0,94795595,482.sphinx3/ascr.i,1755,44410951,23.761108,Ofast
654815,227650,353539,16574645,1,0,80948652.0,96377024,482.sphinx3/beam.i,1762,44448726,23.971388,Ofast
1937891,790116,2104854,65144772,1,0,247000507.0,289735647,482.sphinx3/bio.i,2066,117322273,71.595916,Ofast
573976,239106,501481,13773375,1,0,55463328.0,52153955,482.sphinx3/case.i,1559,27939265,17.148716,Ofast
1603010,589675,1759057,48778518,1,0,206852711.0,235023401,482.sphinx3/ckd_alloc.i,1804,108888017,58.101022,Ofast
1585479,579847,1737674,51894543,1,1,224728612.0,238996758,482.sphinx3/cmd_ln.i,1866,114061559,60.105549,Ofast
2277798,811425,1884633,61060473,1,1,248790741.0,290785525,482.sphinx3/cmn.i,2206,120656947,69.332101,Ofast
1802421,563971,1577885,55221424,1,0,213772721.0,256703717,482.sphinx3/cmn_prior.i,2174,121656338,63.82986,Ofast
6608748,2443557,6197128,172655553,1,1,743072615.0,806580701,482.sphinx3/cont_mgau.i,2561,390734920,206.503947,Ofast
2871295,1132279,3217639,86318897,1,1,353449384.0,378505949,482.sphinx3/dict.i,2184,178277670,98.520518,Ofast
3921527,1513564,3833253,107869808,1,0,480775298.0,477398679,482.sphinx3/dict2pid.i,2352,257818071,130.281063,Ofast
